tag,layer_type,num_layers,units,dropout,bidirectional,epochs_ran,batch_size,best_val_loss,final_train_loss,model_path,timestamp
LSTM_L2_U64_D0.2_Bi0_E15_B32,LSTM,2,[64],0.2,False,15,32,0.0006670145085081,0.0002269198594149,models\LSTM_L2_U64_D0.2_Bi0_E15_B32.keras,1757397237
GRU_L2_U64_D0.2_Bi0_E15_B32,GRU,2,[64],0.2,False,15,32,0.0004027437244076,0.0002643041370902,models\GRU_L2_U64_D0.2_Bi0_E15_B32.keras,1757397378
RNN_L2_U64_D0.2_Bi0_E15_B32,RNN,2,[64],0.2,False,12,32,0.0005500990664586,0.0014920317335054,models\RNN_L2_U64_D0.2_Bi0_E15_B32.keras,1757397422
LSTM_L3_U64x64x32_D0.2_Bi0_E20_B32,LSTM,3,"[64, 64, 32]",0.2,False,6,32,0.002134064445272,0.0005664190975949,models\LSTM_L3_U64x64x32_D0.2_Bi0_E20_B32.keras,1757397483
GRU_L2_U128_D0.2_Bi1_E20_B64,GRU,2,[128],0.2,True,16,64,0.0004598907253239,0.0001900502538774,models\GRU_L2_U128_D0.2_Bi1_E20_B64.keras,1757397740
LSTM_L2_U64_D0.2_Bi0_E15_B32,LSTM,2,[64],0.2,False,6,32,0.001175863086245954,0.00035313493572175503,models\LSTM_L2_U64_D0.2_Bi0_E15_B32.keras,1758874317
GRU_L2_U64_D0.2_Bi0_E15_B32,GRU,2,[64],0.2,False,6,32,0.0004979536170139909,0.00035002382355742157,models\GRU_L2_U64_D0.2_Bi0_E15_B32.keras,1758874349
RNN_L2_U64_D0.2_Bi0_E15_B32,RNN,2,[64],0.2,False,13,32,0.00046023805043660104,0.0013658577809110284,models\RNN_L2_U64_D0.2_Bi0_E15_B32.keras,1758874379
LSTM_L3_U64x64x32_D0.2_Bi0_E20_B32,LSTM,3,"[64, 64, 32]",0.2,False,11,32,0.0013151231687515974,0.0004901988431811333,models\LSTM_L3_U64x64x32_D0.2_Bi0_E20_B32.keras,1758874467
GRU_L2_U128_D0.2_Bi1_E20_B64,GRU,2,[128],0.2,True,20,64,0.00035221362486481667,0.000182962350663729,models\GRU_L2_U128_D0.2_Bi1_E20_B64.keras,1758874779
